Freq.	V(out)/(V(inP)-V(inN))	V(out)/V(out1)	V(out1)/(V(inP)-V(inN))
1.99526231496886e+10	(-4.37250189199718e+01dB,9.06379279951498e+01°)	(-2.10107416355476e+01dB,8.46191507745426e+01°)	(-2.27142772844242e+01dB,6.01877722060726e+00°)
2.23872113856831e+10	(-4.47209212515241e+01dB,8.92018277986751e+01°)	(-2.19985183515900e+01dB,8.38369108666223e+01°)	(-2.27224028999341e+01dB,5.36491693205279e+00°)
2.51188643150955e+10	(-4.57121190184674e+01dB,8.77579585833987e+01°)	(-2.29832548572766e+01dB,8.29760744633310e+01°)	(-2.27288641611909e+01dB,4.78188412006772e+00°)
2.81838293126442e+10	(-4.66981761697200e+01dB,8.62885549029405e+01°)	(-2.39641752973314e+01dB,8.20265080605044e+01°)	(-2.27340008723886e+01dB,4.26204684243617e+00°)
3.16227766016834e+10	(-4.76784054708545e+01dB,8.47759913170275e+01°)	(-2.49403215952172e+01dB,8.09774096521849e+01°)	(-2.27380838756372e+01dB,3.79858166484261e+00°)
3.54813389233571e+10	(-4.86518430111554e+01dB,8.32027512069908e+01°)	(-2.59105141156177e+01dB,7.98173595172552e+01°)	(-2.27413288955376e+01dB,3.38539168973553e+00°)
3.98107170553492e+10	(-4.96172144545940e+01dB,8.15514628197570e+01°)	(-2.68733067937032e+01dB,7.85344310070897e+01°)	(-2.27439076608907e+01dB,3.01703181266736e+00°)
4.46683592150957e+10	(-5.05728943042728e+01dB,7.98050236380530e+01°)	(-2.78269374862071e+01dB,7.71163827586926e+01°)	(-2.27459568180657e+01dB,2.68864087936038e+00°)
5.01187233627266e+10	(-5.15168604881145e+01dB,7.79468380624374e+01°)	(-2.87692754267759e+01dB,7.55509577293734e+01°)	(-2.27475850613385e+01dB,2.39588033306402e+00°)
5.62341325190342e+10	(-5.24466481588449e+01dB,7.59611958283831e+01°)	(-2.96977693302325e+01dB,7.38263169369455e+01°)	(-2.27488788286124e+01dB,2.13487889143762e+00°)
6.30957344480185e+10	(-5.33593088063115e+01dB,7.38338175956192e+01°)	(-3.06094019602935e+01dB,7.19316348182581e+01°)	(-2.27499068460181e+01dB,1.90218277736104e+00°)
7.07945784384129e+10	(-5.42513835501892e+01dB,7.15525868418745e+01°)	(-3.15006597993316e+01dB,6.98578758144671e+01°)	(-2.27507237508577e+01dB,1.69471102740740e+00°)
7.94328234724271e+10	(-5.51189025081367e+01dB,6.91084699677059e+01°)	(-3.23675295302445e+01dB,6.75987545493897e+01°)	(-2.27513729778922e+01dB,1.50971541831616e+00°)
8.91250938133734e+10	(-5.59574247039094e+01dB,6.64965958348947e+01°)	(-3.32055356462513e+01dB,6.51518512613384e+01°)	(-2.27518890576581e+01dB,1.34474457355629e+00°)
1.00000000000000e+11	(-5.67621338581007e+01dB,6.37174202174750e+01°)	(-3.40098344120636e+01dB,6.25198083743389e+01°)	(-2.27522994460371e+01dB,1.19761184313608e+00°)
