Freq.	V(out)/(V(inP)-V(inN))	V(out)/V(out1)	V(out1)/(V(inP)-V(inN))
4.46683592150962e+04	(5.40562856068507e+01dB,-1.01955257226135e+01°)	(2.63501560833455e+01dB,1.79841535644515e+02°)	(2.77061295235052e+01dB,1.69962938632871e+02°)
5.01187233627271e+04	(5.40212774572378e+01dB,-1.14087631105886e+01°)	(2.63501329447118e+01dB,1.79822200805971e+02°)	(2.76711445125260e+01dB,1.68769036083441e+02°)
5.62341325190347e+04	(5.39776022926867e+01dB,-1.27578012523249e+01°)	(2.63501038129869e+01dB,1.79800507064463e+02°)	(2.76274984796998e+01dB,1.67441691683212e+02°)
6.30957344480191e+04	(5.39232357517017e+01dB,-1.42545111316395e+01°)	(2.63500671386922e+01dB,1.79776166715716e+02°)	(2.75731686130095e+01dB,1.65969322152645e+02°)
7.07945784384136e+04	(5.38557460274601e+01dB,-1.59105240168246e+01°)	(2.63500209703348e+01dB,1.79748857001967e+02°)	(2.75057250571253e+01dB,1.64340618981209e+02°)
7.94328234724279e+04	(5.37722460737619e+01dB,-1.77366769369062e+01°)	(2.63499628490586e+01dB,1.79718215856188e+02°)	(2.74222832247033e+01dB,1.62545107206906e+02°)
8.91250938133743e+04	(5.36693582774114e+01dB,-1.97422815375009e+01°)	(2.63498896802050e+01dB,1.79683837135713e+02°)	(2.73194685972065e+01dB,1.60573881326786e+02°)
9.99999999999997e+04	(5.35432024891087e+01dB,-2.19342080724321e+01°)	(2.63497975693590e+01dB,1.79645265286737e+02°)	(2.71934049197497e+01dB,1.58420526640831e+02°)
1.12201845430196e+05	(5.33894211386458e+01dB,-2.43158031098201e+01°)	(2.63496816141909e+01dB,1.79601989375385e+02°)	(2.70397395244549e+01dB,1.56082207514795e+02°)
1.25892541179416e+05	(5.32032566755723e+01dB,-2.68857013294420e+01°)	(2.63495356436798e+01dB,1.79553436415225e+02°)	(2.68537210318926e+01dB,1.53560862255333e+02°)
1.41253754462275e+05	(5.29796951826957e+01dB,-2.96366469574694e+01°)	(2.63493518887139e+01dB,1.79498963915670e+02°)	(2.66303432939817e+01dB,1.50864389126860e+02°)
1.58489319246111e+05	(5.27136839630711e+01dB,-3.25545001165494e+01°)	(2.63491205766499e+01dB,1.79437851570036e+02°)	(2.63645633864212e+01dB,1.48007648313414e+02°)
1.77827941003892e+05	(5.24004190115308e+01dB,-3.56176491259194e+01°)	(2.63488294057671e+01dB,1.79369291999813e+02°)	(2.60515896057637e+01dB,1.45013058874267e+02°)
1.99526231496887e+05	(5.20356813400790e+01dB,-3.87970558853690e+01°)	(2.63484628930549e+01dB,1.79292380467611e+02°)	(2.56872184470241e+01dB,1.41910563647020e+02°)
2.23872113856833e+05	(5.16161826100372e+01dB,-4.20571030164682e+01°)	(2.63480015655372e+01dB,1.79206103472620e+02°)	(2.52681810445000e+01dB,1.38736793510912e+02°)
2.51188643150957e+05	(5.11398668601753e+01dB,-4.53572806259080e+01°)	(2.63474209141763e+01dB,1.79109326152333e+02°)	(2.47924459459990e+01dB,1.35533393221758e+02°)
2.81838293126444e+05	(5.06061134484661e+01dB,-4.86545710554018e+01°)	(2.63466901244464e+01dB,1.79000778419098e+02°)	(2.42594233240198e+01dB,1.32344650525500e+02°)
3.16227766016837e+05	(5.00158003280099e+01dB,-5.19062151908287e+01°)	(2.63457704410522e+01dB,1.78879039796667e+02°)	(2.36700298869577e+01dB,1.29214745012504e+02°)
3.54813389233574e+05	(4.93712143515105e+01dB,-5.50724409347671e+01°)	(2.63446131397308e+01dB,1.78742522951460e+02°)	(2.30266012117797e+01dB,1.26185036113773e+02°)
3.98107170553496e+05	(4.86758273794517e+01dB,-5.81187448006928e+01°)	(2.63431569997616e+01dB,1.78589455980713e+02°)	(2.23326703796901e+01dB,1.23291799218594e+02°)
4.46683592150961e+05	(4.79339825961554e+01dB,-6.10174374416921e+01°)	(2.63413251160303e+01dB,1.78417863622167e+02°)	(2.15926574801251e+01dB,1.20564698936141e+02°)
5.01187233627270e+05	(4.71505467678022e+01dB,-6.37483443376251e+01°)	(2.63390209547287e+01dB,1.78225547679859e+02°)	(2.08115258130735e+01dB,1.18026107982516e+02°)
5.62341325190347e+05	(4.63305798916385e+01dB,-6.62987269595847e+01°)	(2.63361234129739e+01dB,1.78010067185307e+02°)	(1.99944564786646e+01dB,1.15691205855108e+02°)
6.30957344480190e+05	(4.54790587027751e+01dB,-6.86626087836431e+01°)	(2.63324807354951e+01dB,1.77768719088146e+02°)	(1.91465779672800e+01dB,1.13568672128210e+02°)
7.07945784384135e+05	(4.46006718313403e+01dB,-7.08397360366905e+01°)	(2.63279029486716e+01dB,1.77498520719971e+02°)	(1.82727688826687e+01dB,1.11661743243338e+02°)
7.94328234724278e+05	(4.36996881910786e+01dB,-7.28343885177939e+01°)	(2.63221526097929e+01dB,1.77196195822393e+02°)	(1.73775355812856e+01dB,1.09969415659813e+02°)
8.91250938133741e+05	(4.27798893133855e+01dB,-7.46542054729757e+01°)	(2.63149334906903e+01dB,1.76858166761390e+02°)	(1.64649558226953e+01dB,1.08487627765635e+02°)
9.99999999999995e+05	(4.18445512323169e+01dB,-7.63091317338521e+01°)	(2.63058768971960e+01dB,1.76480556606368e+02°)	(1.55386743351209e+01dB,1.07210311659780e+02°)
1.12201845430196e+06	(4.08964607605958e+01dB,-7.78105359557361e+01°)	(2.62945252948550e+01dB,1.76059206186485e+02°)	(1.46019354657408e+01dB,1.06130257857779e+02°)
1.25892541179416e+06	(3.99379528459523e+01dB,-7.91705136740161e+01°)	(2.62803130305693e+01dB,1.75589713050543e+02°)	(1.36576398153829e+01dB,1.05239773275441e+02°)
1.41253754462275e+06	(3.89709586194071e+01dB,-8.04013633877795e+01°)	(2.62625440786224e+01dB,1.75067501527746e+02°)	(1.27084145407847e+01dB,1.04531135084475e+02°)
1.58489319246110e+06	(3.79970567760847e+01dB,-8.15152114505912e+01°)	(2.62403670952471e+01dB,1.74487935726529e+02°)	(1.17566896808376e+01dB,1.03996852822880e+02°)
1.77827941003891e+06	(3.70175235184655e+01dB,-8.25237573021199e+01°)	(2.62127486138468e+01dB,1.73846490149107e+02°)	(1.08047749046186e+01dB,1.03629752548773e+02°)
1.99526231496887e+06	(3.60333783097419e+01dB,-8.34381113928491e+01°)	(2.61784460655622e+01dB,1.73138995187739e+02°)	(9.85493224417973e+00dB,1.03422893419412e+02°)
2.23872113856833e+06	(3.50454240978043e+01dB,-8.42687008943502e+01°)	(2.61359836083678e+01dB,1.72361976180326e+02°)	(8.90944048943655e+00dB,1.03369322925324e+02°)
2.51188643150957e+06	(3.40542816535894e+01dB,-8.50252230002415e+01°)	(2.60836355119663e+01dB,1.71513103454199e+02°)	(7.97064614162306e+00dB,1.03461673545559e+02°)
2.81838293126444e+06	(3.30604182500605e+01dB,-8.57166288366379e+01°)	(2.60194240522481e+01dB,1.70591764590109e+02°)	(7.04099419781237e+00dB,1.03691606573254e+02°)
3.16227766016836e+06	(3.20641713318751e+01dB,-8.63511250800282e+01°)	(2.59411413784825e+01dB,1.69599755873058e+02°)	(6.12302995339261e+00dB,1.04049119046914e+02°)
3.54813389233573e+06	(3.10657680506463e+01dB,-8.69361831404163e+01°)	(2.58464070644325e+01dB,1.68542064184709e+02°)	(5.21936098621387e+00dB,1.04521752674874e+02°)
3.98107170553495e+06	(3.00653417597562e+01dB,-8.74785487287711e+01°)	(2.57327739745316e+01dB,1.67427671093420e+02°)	(4.33256778522457e+00dB,1.05093780177809e+02°)
4.46683592150960e+06	(2.90629467062305e+01dB,-8.79842473768660e+01°)	(2.55978933243127e+01dB,1.66270258383077e+02°)	(3.46505338191787e+00dB,1.05745494240057e+02°)
